ID,UK_HS,UK_casecontrol,UK_FCI,Sex,Birth_Year,Birth_Month,HD_Year,HD_Age,PC1,PC2,Group
620,7,1,1,2,2009,9,2010,1.07,0.0256259,-0.0126526,1
621,0,1,1,2,2012,6,2014,1.61,-0.0360936,-0.135932,1
622,14,2,2,2,2012,7,2013,1.13,-0.0111425,-0.0560606,1
623,12,2,2,1,2010,6,2011,1.18,-0.0196284,-0.117304,1
624,13,2,2,2,2007,8,2012,4.9,-0.0657734,0.040799,1
625,0,1,1,2,2008,2,2010,2.75,0.00171006,-0.0773279,1
626,9,1,1,1,2009,12,2011,1.34,0.0554292,0.00732548,1
627,9,1,1,2,2005,1,2009,4.77,0.0622578,-0.0142088,1
628,-9,-9,-9,2,-9,-9,-9,-9,-0.0767952,0.0259051,1
629,-9,-9,-9,2,-9,-9,-9,-9,-0.0911924,0.0689164,1
630,23,2,2,1,2012,9,2013,1.27,-0.0200811,-0.0968352,1
631,8,1,1,1,2012,5,2014,2.48,-0.104352,0.0817424,1
632,-9,-9,-9,1,-9,-9,-9,-9,0.00667465,-0.0386418,1
633,-9,-9,-9,1,-9,-9,-9,-9,-0.0608838,0.0356439,1
634,-9,-9,-9,1,-9,-9,-9,-9,0.00753187,0.0153488,1
635,-9,-9,-9,1,-9,-9,-9,-9,-0.0162895,-0.047868,1
636,12,2,2,2,2014,10,2015,1.18,-0.0210152,-0.0756803,1
637,10,1,1,2,2014,10,2017,2.56,0.0740668,0.0167978,1
638,-9,-9,-9,2,-9,-9,-9,-9,0.00882479,9.80E-05,1
639,-9,-9,-9,2,-9,-9,-9,-9,0.0888114,0.0434869,1
640,-9,-9,-9,1,-9,-9,-9,-9,-0.0323498,0.0492223,1
641,-9,-9,-9,1,-9,-9,-9,-9,-0.0467931,-0.10655,1
642,-9,-9,-9,1,-9,-9,-9,-9,-0.0473217,0.00219834,1
643,-9,-9,-9,2,-9,-9,-9,-9,0.0757682,0.0215261,1
