#IID	F_ROH	ROH_length_kB	KBAVG
629	0.28675	629050	8617.12
630	0.29202	640617	8319.7
631	0.23360	512456	6832.74
632	0.23410	513556	6669.56
633	0.21424	469977	7230.41
634	0.26589	583276	7027.42
635	0.27495	603150	8150.68
636	0.29093	638223	7421.2
637	0.35680	782712	8416.26
638	0.25444	558159	8208.22
639	0.31696	695312	7396.93
640	0.23631	518392	6561.92
641	0.19617	430341	5976.96
642	0.23168	508237	7365.75
643	0.34263	751639	8445.38
644	0.23169	508265	6687.7
645	0.29804	653810	7877.23
646	0.29712	651788	8250.48
647	0.19218	421590	7145.58
648	0.22150	485911	6566.36
649	0.23495	515408	6693.61
650	0.29421	645411	7593.07
651	0.27187	596402	7273.19
652	0.33254	729496	7929.31
653	0.39461	865669	9837.15
654	0.31385	688497	8715.16
655	0.27633	606184	7303.42
656	0.22428	492005	7454.62
657	0.20540	450583	6346.24
658	0.29190	640354	7194.99
659	0.37422	820929	8209.29
660	0.21619	474251	6323.34
661	0.24409	535465	6610.68
662	0.25050	549535	8202.02
663	0.26355	578158	7919.97
664	0.22256	488238	6876.6
665	0.22061	483953	7445.44
666	0.24514	537756	6983.85
667	0.21616	474199	6408.09
668	0.33547	735934	7999.29
669	0.34906	765732	8233.68
670	0.31641	694117	8898.93
671	0.33767	740748	7716.12
672	0.23821	522553	6372.59
673	0.24257	532131	7095.08
674	0.22741	498868	7026.31
675	0.32552	714094	8708.46
676	0.21480	471205	7724.67
677	0.24691	541658	7127.08
678	0.25096	550524	6401.44
679	0.24291	532879	7722.88
680	0.37669	826353	8982.1
681	0.36514	801021	8613.13
682	0.39811	873334	9192.99
683	0.20274	444745	6445.58
684	0.25292	554824	6935.3
685	0.35590	780742	8395.08
686	0.23077	506235	7670.23
687	0.26927	590709	8561
688	0.29311	643005	8037.56
689	0.20485	449382	6329.33
690	0.36201	794148	8272.37
691	0.15746	345421	6280.38
692	0.29288	642502	8132.94
693	0.22496	493494	7152.09
694	0.27415	601399	7710.24
695	0.41068	900923	9900.25
696	0.24432	535977	6699.72
697	0.25806	566111	7754.95
698	0.34770	762742	8474.91
699	0.22715	498295	7221.66
700	0.24994	548292	7409.35
701	0.24159	529972	6624.65
702	0.26469	580643	7540.81
703	0.26257	576010	8470.73
704	0.32707	717496	8342.98
705	0.24124	529214	8018.39
706	0.25690	563566	8805.73
707	0.32121	704632	7659.05
708	0.26671	585088	7501.12
709	0.26410	579361	8046.69
710	0.24423	535777	7546.16
711	0.23224	509466	6616.44
712	0.34188	749982	8151.98
713	0.29110	638589	7175.15
714	0.24730	542513	7331.26
715	0.22476	493061	6403.39
716	0.29609	649525	7825.61
717	0.35376	776039	8818.62
718	0.35701	783180	11030.7
719	0.35628	781568	7662.43
720	0.27404	601167	8015.57
721	0.25216	553157	6829.1
722	0.29680	651087	6853.55
723	0.26188	574498	7659.98
724	0.27760	608971	7708.49
725	0.21851	479338	6751.24
726	0.35217	772557	9537.74
727	0.31467	690297	8026.7
728	0.23626	518294	6170.17
729	0.27987	613951	7973.39
730	0.33310	730722	8596.73
731	0.32463	712147	9370.36
732	0.39130	858399	9432.95
733	0.22492	493407	6949.39
734	0.34767	762684	8569.48
735	0.21031	461364	6686.43
736	0.23008	504719	6729.58
737	0.18303	401507	5904.51
738	0.24246	531890	8058.93
739	0.24486	537152	7565.53
740	0.28653	628557	7856.96
741	0.31310	686840	7894.71
